model,metric,precision,recall,f1,tp,fp,fn
project,detection_text_match,0.45442647865916097,0.5276470588235035,0.48830721024515295,10764,12923,9636
project,classification_text_and_type,0.5857742024202218,0.6193072365790492,0.6020741678012792,17039,12049,10474
presidio,detection_text_match,0.4114647441533141,0.4588235294117422,0.43385556638752704,9360,13388,11040
presidio,classification_text_and_type,0.4249252761533353,0.5669255842984754,0.48576055096389076,16349,22126,12489
